"a","b"
252,0.98
253,0.77
254,0.13
255,0.64
256,0.52
257,0.97
258,0.14
259,0.6
260,0.97
261,0.69
262,0.44
263,0.48
264,0.91
265,0.1
266,0.68
267,0.59
268,0.75
269,0
270,0.29
271,0.04
272,0.55
273,0.43
274,0.78
275,0.64
276,0.32
277,0.46
278,0.77
279,0.85
280,0.18
281,0.88
282,0.49
283,0.87
284,0.51
285,0.68
286,0.94
287,0.51
288,0.67
289,0.36
290,0.34
291,0.12
292,0.18
293,0.71
294,0.19
295,0.45
296,0.99
297,0.45
298,0.88
299,0.83
300,0.71
301,0.2
302,0.17
303,0.52
304,0.01
305,0.94
306,0.75
307,0.21
308,0.85
309,0.24
310,0.64
311,0.34
312,0.37
313,0.48
314,0.68
315,0.69
316,0.91
317,0.22
318,0.06
319,0.44
320,0.26
321,0.37
322,0.7
323,0.38
324,0.51
325,0.9
326,0.79
327,0.38
328,0.05
329,0.05
330,0.62
331,0.67
332,0.7
333,0.06
334,0.96
335,0.9
336,0.83
337,0.33
338,0.33
339,0.82
340,0.33
341,0.98
342,0.16
343,0.85
344,0.81
345,0.75
346,0.15
347,0.15
348,0.54
349,0.93
350,0.64
351,0.37
352,0.23
353,0.09
354,0.04
355,0.25
356,0.23
357,0.83
358,0.97
359,0.2
360,0.93
361,0.35
362,0.09
363,0.78
364,0.51
365,0.1
366,0.41
367,0.84
368,0.75
369,0.46
370,0.51
371,0.23
372,0.83
373,0.13
374,0.17
375,0.84
376,0.63
377,0.12
378,0.2
379,0.01
380,0.95
381,0.23
382,0.86
383,0.89
384,0.76
385,0.5
386,0.73
387,0.38
388,0.99
389,0.66
390,0.73
391,0.6
392,0.6
393,0.67
394,0.7
395,0.19
396,0.39
397,0.62
398,0.59
399,0.69
400,0.39
401,0.39
402,0.57
403,0.47
404,0.8
405,0.74
406,0.25
407,0.4
408,0.75
409,0.95
410,0.66
411,0.98
412,0.4
413,0.11
414,0.86
415,0.57
416,0.16
417,0.08
418,0.96
419,0.52
420,0.7
421,0.97
422,0.13
423,0.88
424,0.14
425,0.03
426,0.28
427,0.63
428,0.68
429,0.95
430,0.94
431,0.69
432,0.7
433,0.75
434,0.9
435,0.77
436,0.73
437,0.49
438,0.04
439,0.45
440,0.17
441,0.09
442,0.43
443,0.39
444,0.76
445,0.93
446,0.2
447,0.98
448,0.05
449,0.19
450,0.15
451,0.34
452,0.01
453,0.73
454,0.44
455,0.34
456,0.95
457,0.79
458,0.69
459,0.39
460,0.89
461,0.97
462,0.84
463,0.16
464,0.52
465,0.37
466,0.74
467,0.16
468,0.24
469,0.34
470,0.3
471,0.36
472,0.91
473,0.81
474,0.4
475,0.46
476,0.13
477,0.46
478,0.68
479,0.62
480,0.53
481,0.59
482,0.08
483,0.58
484,0.58
485,0.41
486,0.79
487,0.73
488,0.87
489,0.88
490,0.69
491,0.74
492,0.42
493,0.63
494,0.61
495,1
496,0.84
497,0.58
498,0.08
499,0.45
500,0.34
